name,phone,address,detail_url,lat,lng,isopen,region,description
허그맘·허그인 구리갈매센터,031-8079-8275,"경기 구리시 경춘북로 252 (갈매동, 갈매역아이파크)애비뉴상가 A205호",https://www.hugmom.co.kr/guri,37.63381259,127.1183227,0,경기,
허그맘·허그인 김포센터,031-994-6255,"경기 김포시 김포대로 841 (사우동, 제우스프라자) 306호경기 김포시 사우동 924 (제우스프라자 306호)",https://www.hugmom.co.kr/kimpo,37.61953666,126.7200287,1,경기,"10년 이상 경력의 상담사 보유, ADHD 및 우울증 치료 경험 풍부, 다양한 협력 사업 및 정부 연구 참여 경험 보유."
허그맘·허그인 노원센터,02-930-0744,서울 노원구 노해로 521 정일빌딩 6층서울 노원구 상계동 718 정일빌딩 6층,https://www.hugmom.co.kr/nowon,37.65576427,127.0659083,1,서울,"2013년 6월 오픈. ADHD아동을 위한 주의집중력 훈련에 관심을 갖고 21년부터 24년까지 전산화인지치료 진행함 (ADHD 아동, 학습부진, 기억력 향상, 인지발달 향상에 도움줄 수 있었음) 24년 카그모 실증사업 참여하면서부터 대상아동들 25년도에는 카그모로 전환하고자 함."
허그맘·허그인 대구달서센터,053-625-6662,대구 달서구 상원로 100  아림빌딩 7층대구 달서구 상인동 162  아림빌딩 7층,https://www.hugmom.co.kr/daegudalseo,35.81784835,128.5324849,1,대구,"다양한 심리 지원과 상담 서비스를 제공하며, 공인된 자격을 갖춘 상담사들이 배치되어 있음."
허그맘·허그인 대전둔산센터,042-719-8088,대전 서구 둔산로 76 시티크리닉 5층대전 서구 둔산동 1179 시티크리닉 5층,https://www.hugmom.co.kr/daejeondunsan,36.35102951,127.3822498,0,대전,
허그맘·허그인 동대문구센터,02-3390-3080,"서울 동대문구 답십리로 264 2층 (장안동, 성신빌딩)",https://www.hugmom.co.kr/dongdaemun,37.57228156,127.0695085,0,서울,
허그맘·허그인 동두천센터,031-928-5575,"경기 동두천시 중앙로 165 (생연동, 은혜빌딩) 5층경기도 동두천시 생연동 714-12 5층",https://www.hugmom.co.kr/dongducheon,37.89628633,127.0521057,0,경기,
허그맘·허그인 동탄센터,031-378-3866,경기 화성시 동탄대로 537 (오산동) 라스플로레스 412호,https://www.hugmom.co.kr/dongtan,37.20222199,127.0979236,0,경기,
허그맘·허그인 마포센터,02-2138-6255,서울 마포구 백범로 130 (염리동) 뉴한일빌딩 4층서울 마포구 염리동 156-1 뉴한일빌딩 4층,https://www.hugmom.co.kr/mapo,,,0,서울,
허그맘·허그인 목동센터 (직영점),02-6092-6600,서울 양천구 오목로 340 협성빌딩 A동 3층서울 양천구 목동 405-268 협성빌딩 A동 3층,https://www.hugmom.co.kr/mokdong,37.52426781,126.875112,0,서울,
허그맘·허그인 목포센터,061-803-9222,전남 목포시 후광대로 110 디 타워 3층전남 목포시 옥암동 1225-1 법원프라자 3층,https://www.hugmom.co.kr/mokpo,34.81088116,126.4450289,0,전남,
허그맘·허그인 부산연제센터,051-866-0770,부산 연제구 중앙대로 1090 프라임시티 6층부산 연제구 연산동 702-1 프라임시티 6층,https://www.hugmom.co.kr/busanyeonje,35.18479848,129.0810622,1,부산,"2016년 개원 이후 부산 연제구에서 높은 인지도를 보유하고 있으며, 초등학교와 협력하여 아동 모집이 용이함."
허그맘·허그인 부산해운대센터,051-703-4375 (대표),"부산 해운대구 센텀남대로 50, 3층 (우동, 센텀임페리얼타워 3층)",https://www.hugmom.co.kr/busanhaeundae,35.16810889,129.1313014,0,부산,
허그맘·허그인 부천상동센터,032-713-9119,경기 부천시 길주로 71 리파인빌 213호경기 부천시 상동 531-7 리파인빌,https://www.hugmom.co.kr/bucheonsangdong,37.50637539,126.7505164,1,경기,8년 운영하며 7천 명 이상의 내담자가 방문한 지역사회 내 주요 심리상담센터.
허그맘·허그인 분당센터,031-714-1270,"경기 성남시 분당구 성남대로331번길 3-9 (정자동, 백궁프라자3 5층 507호)경기 성남시 분당구 성남대로 331번길 3-9 백궁프라자3 5층 507호",https://www.hugmom.co.kr/bundang,37.36484614,127.1076947,0,경기,
허그맘·허그인 산본센터,031-360-7975,"경기 군포시 산본로 329, 9층 (산본동, 경원빌딩)경기도 군포시 산본동 1126, 9층 (경원빌딩)",https://www.hugmom.co.kr/sanbon,37.36002061,126.9330897,1,경기,2019년 개원 이후 학령기 아동 및 부모를 대상으로 다양한 심리상담 및 치료 서비스를 제공함.
허그맘·허그인 성북센터,02-6956-0204,"서울 성북구 종암로 167 (하월곡동, 동일하이빌뉴시티) 401호",https://www.hugmom.co.kr/seongbuk01,37.60503716,127.0309282,0,서울,
허그맘·허그인 세종센터,044-417-6255,"세종특별자치시 한누리대로 169 (나성동, 세종행복타워) 403호세종특별자치시 나성동 720 세종행복타워",https://www.hugmom.co.kr/sejong,36.48023627,127.2618137,0,세종,
허그맘·허그인 송파잠실문정센터,02-6952-0051,"서울 송파구 송파대로 201 (문정동, 송파 테라타워2)서울특별시 송파구 송파대로 201 송파테라타워2 A동 221호",https://www.hugmom.co.kr/songpamunjeong,,,0,서울,
허그맘·허그인 수원센터,031-204-4275,"경기 수원시 영통구 덕영대로 1470 (망포동, 망포역 플래티넘베이스)5층 506-507호 허그맘허그인 수원영통점",https://www.hugmom.co.kr/suwon,37.24506108,127.0510369,1,경기,"영유아부터 성인까지 다양한 심리상담 프로그램을 운영하며, 전문가들이 상담을 제공함."
허그맘·허그인 시흥센터,031-498-6255,"경기 시흥시 서울대학로278번길 61, 서영 베니스스퀘어 C동 4층 432-1호경기 시흥시 정왕동 2537-2, 서영 베니스스퀘어 C동 4층 432-1호",https://www.hugmom.co.kr/siheung,37.3681856,126.730671,0,경기,
허그맘·허그인 신도림센터,02-6956-7915,"서울 구로구 경인로 590 (신도림동, 아주빌딩 2층)서울특별시 구로구 신도림동 413-49 (아주빌딩 2층)",https://www.hugmom.co.kr/guro,37.50441806,126.8823855,0,서울,
허그맘·허그인 아산센터,041-424-6255,"충남 아산시 배방읍 장재리 1776, N타워 3층 303호",https://www.hugmom.co.kr/asan,36.79184393,127.1072823,0,충남,
허그맘·허그인 안산센터 (직영점),031-8042-5512,경기 안산시 단원구 고잔로 88 지스타 빌딩 9층 906호경기 안산시 단원구 고잔동 534-2 9층 906호,https://www.hugmom.co.kr/ansan,,,0,경기,
허그맘·허그인 여수센터,061-686-3055,전남 여수시 도원로 190 (안산동) 3층(여천새마을금고 건물 3층),https://www.hugmom.co.kr/yeosu,34.7607075,127.6520345,1,전남,"여수시청, 교육청, 경찰서 등 다양한 기관과 협력하여 청소년과 시민의 정서적 안정을 지원함."
허그맘·허그인 여의도센터,02-2135-7542,서울 영등포구 여의대방로 376 (여의도동) 나라키움 여의도빌딩 305호~307호,https://www.hugmom.co.kr/yeouido,37.51818861,126.9313546,1,서울,2019년 개원 후 10년 이상 임상 경험이 풍부한 전문가들이 체계적인 상담 및 치료를 제공하고 있음.
허그맘·허그인 오산센터,031-8068-6255,경기 오산시 청학로 230 (수청동) 재이클래스 202호,https://www.hugmom.co.kr/osan,37.1692718,127.0620004,1,경기,2021년 개원 이후 지역 내 다양한 기관과 협력하며 심리 상담 및 심리검사를 제공하는 기관.
허그맘·허그인 용인수지센터,031-548-2855,용인시 수지구 문정로 7번길 14 . 3층 허그맘,https://www.hugmom.co.kr/yonginsuji,37.32118642,127.09514,1,용인,"10년 이상 운영한 신도시 내 주요 상담센터로, ADHD 아동 상담 및 치료 경험이 풍부함."
허그맘·허그인 울산센터,052-267-4759,울산 남구 삼산로278번길 8 LJ타워 4층 402호울산 남구 삼산동 1478-5 LJ타워 4층 402호,https://www.hugmom.co.kr/ulsan,,,0,울산,
허그맘·허그인 의정부센터,031-928-5846,경기 의정부시 민락동 805-2(성산타워 9층)경기 의정부시 오목로225번길 140,https://www.hugmom.co.kr/uijeongbu01,37.74506927,127.0948853,0,경기,
허그맘·허그인 익산센터,063-851-7735,전북 익산시 선화로1길 16 (모현동1가) 2층 201호2층 201호,https://www.hugmom.co.kr/iksan,35.95118732,126.9384132,0,전북,
허그맘·허그인 인천서구센터,032-563-2070,"인천 서구 염곡로 468 (가정동, 드림타워) 3층인천광역시 서구 가정동 619-4 3층",https://www.hugmom.co.kr/incheonseogu,37.52645134,126.6697289,1,인천,아동·청소년의 심리·정서 지원과 인지 기능 강화 및 행동 조절 훈련을 전문적으로 진행하는 상담 기관.
허그맘·허그인 인천송도센터,032-710-6517,"인천 연수구 하모니로138번길 11 (송도동, 송도캐슬센트럴파크101동, 4층)인천광역시 연수구 송도동 8-20 (송도캐슬센트럴파크 101동, 4층)",https://www.hugmom.co.kr/incheonsongdo,37.3849626,126.6428001,0,인천,
허그맘·허그인 일산센터,031-911-3301,경기 고양시 일산서구 일산로 774 리더스프라자II 601호경기 고양시 일산서구 대화동 2223-2 리더스프라자II 601호,https://www.hugmom.co.kr/ilsan,37.67488441,126.748564,1,경기,"영유아부터 성인까지 1:1 맞춤 상담을 제공하며, 생애주기별 연령 맞춤 검사를 통해 객관적이고 검증된 상담 서비스 제공."
허그맘·허그인 전주센터,063-223-0075,전북 전주시 완산구 홍산로 238 메트로빌딩 7층전북 전주시 완산구 효자동2가 1154-3 메트로빌딩 7층,https://www.hugmom.co.kr/jeonju,35.81485801,127.106474,1,전북,"전북대학 등에서 후학을 가르친 심리학 전문가가 운영하는 전문 상담센터, 다양한 심리 검사 및 치료 프로그램 운영."
허그맘·허그인 창원센터,055-289-7255,경남 창원시 성산구 단정로 9 토토스빌딩 4층경남 창원시 성산구 상남동 23-7 토토스빌딩4층,https://www.hugmom.co.kr/changwon,35.22085897,128.682007,1,경남,"251㎡ 규모의 넓고 쾌적한 공간과 VR 전용 상담실을 포함한 치료 환경 제공, ADHD 및 정서 치료 전문가 다수 보유."
허그맘·허그인 천안센터,041-551-6256,충남 천안시 서북구 두정로 187 시온빌딩 4층충남 천안시 서북구 두정동 945 시온빌딩 4층,https://www.hugmom.co.kr/cheonan,36.83403659,127.1377442,0,충남,
허그맘·허그인 청주센터,043-236-1275,충북 청주시 서원구 복대로 19 매직타워 501호충북 청주시 서원구 개신동 696 매직타워 501호,https://www.hugmom.co.kr/cheongju,36.61899496,127.4455471,1,충북,"내담자 중심의 지지적 상담 제공, 1급 전문상담사 및 아동 놀이치료 전문가 다수 보유."
허그맘·허그인 파주센터,031-935-5795,"경기 파주시 목동동 935-2 (월드타워5차, 8층)경기 파주시 청암로17번길 21(월드타워5차, 8층)",https://www.hugmom.co.kr/paju,37.72951417,126.7351075,0,경기,
허그맘·허그인 평택센터,031-994-5922,경기 평택시 비전5로 20-38 에이치탑5 빌딩 602호경기 평택시 비전동 1102 에이치탑5빌딩 602호,https://www.hugmom.co.kr/pyeongtaek,36.99965137,127.1156702,0,경기,
허그맘·허그인 포항센터,054-232-9660,"경북 포항시 북구 양덕남로 73 (양덕동, 하주빌딩) 3층경북 포항시 북구 양덕동 1649-4 하주빌딩 3층",https://www.hugmom.co.kr/pohang,36.07870199,129.4003124,0,경북,
허그맘·허그인 하남센터,031-8042-6255,경기 하남시 미사강변중앙로 220 우성미사타워 9층경기 하남시 망월동 1079-1 우성미사타워 9층,https://www.hugmom.co.kr/hanam,37.56628714,127.1892311,0,경기,
