name,phone,address,detail_url,lat,lng
허그맘·허그인 광주북구센터,062-529-5653,광주 북구 서강로54번길 28 (운암동) 2층광주광역시 북구 운암동 366-3 2층,https://www.hugmom.co.kr/gwangjubukgu,,
허그맘·허그인 광주상무센터,062-373-6255,광주 서구 상무중앙로 24 엠씨타워 5층광주 서구 치평동 1254-1 엠씨타워 5층,https://www.hugmom.co.kr/gwangjusangmu,,
허그맘·허그인 구리갈매센터,031-8079-8275,"경기 구리시 경춘북로 252 (갈매동, 갈매역아이파크)애비뉴상가 A205호",https://www.hugmom.co.kr/guri,,
허그맘·허그인 김포센터,031-994-6255,"경기 김포시 김포대로 841 (사우동, 제우스프라자) 306호경기 김포시 사우동 924 (제우스프라자 306호)",https://www.hugmom.co.kr/kimpo,,
허그맘·허그인 노원센터,02-930-0744,서울 노원구 노해로 521 정일빌딩 6층서울 노원구 상계동 718 정일빌딩 6층,https://www.hugmom.co.kr/nowon,,
허그맘·허그인 대구달서센터,053-625-6662,대구 달서구 상원로 100  아림빌딩 7층대구 달서구 상인동 162  아림빌딩 7층,https://www.hugmom.co.kr/daegudalseo,,
허그맘·허그인 대전둔산센터,042-719-8088,대전 서구 둔산로 76 시티크리닉 5층대전 서구 둔산동 1179 시티크리닉 5층,https://www.hugmom.co.kr/daejeondunsan,,
허그맘·허그인 동대문구센터,02-3390-3080,"서울 동대문구 답십리로 264 2층 (장안동, 성신빌딩)",https://www.hugmom.co.kr/dongdaemun,,
허그맘·허그인 동두천센터,031-928-5575,"경기 동두천시 중앙로 165 (생연동, 은혜빌딩) 5층경기도 동두천시 생연동 714-12 5층",https://www.hugmom.co.kr/dongducheon,,
허그맘·허그인 동탄센터,031-378-3866,경기 화성시 동탄대로 537 (오산동) 라스플로레스 412호,https://www.hugmom.co.kr/dongtan,,
허그맘·허그인 마포센터,02-2138-6255,서울 마포구 백범로 130 (염리동) 뉴한일빌딩 4층서울 마포구 염리동 156-1 뉴한일빌딩 4층,https://www.hugmom.co.kr/mapo,,
허그맘·허그인 목동센터 (직영점),02-6092-6600,서울 양천구 오목로 340 협성빌딩 A동 3층서울 양천구 목동 405-268 협성빌딩 A동 3층,https://www.hugmom.co.kr/mokdong,,
허그맘·허그인 목포센터,061-803-9222,전남 목포시 후광대로 110 디 타워 3층전남 목포시 옥암동 1225-1 법원프라자 3층,https://www.hugmom.co.kr/mokpo,,
허그맘·허그인 부산연제센터,051-866-0770,부산 연제구 중앙대로 1090 프라임시티 6층부산 연제구 연산동 702-1 프라임시티 6층,https://www.hugmom.co.kr/busanyeonje,,
허그맘·허그인 부산해운대센터,051-703-4375 (대표),"부산 해운대구 센텀남대로 50, 3층 (우동, 센텀임페리얼타워 3층)",https://www.hugmom.co.kr/busanhaeundae,,
허그맘·허그인 부천상동센터,032-713-9119,경기 부천시 길주로 71 리파인빌 213호경기 부천시 상동 531-7 리파인빌,https://www.hugmom.co.kr/bucheonsangdong,,
허그맘·허그인 분당센터,031-714-1270,"경기 성남시 분당구 성남대로331번길 3-9 (정자동, 백궁프라자3 5층 507호)경기 성남시 분당구 성남대로 331번길 3-9 백궁프라자3 5층 507호",https://www.hugmom.co.kr/bundang,,
허그맘·허그인 산본센터,031-360-7975,"경기 군포시 산본로 329, 9층 (산본동, 경원빌딩)경기도 군포시 산본동 1126, 9층 (경원빌딩)",https://www.hugmom.co.kr/sanbon,,
허그맘·허그인 성북센터,02-6956-0204,"서울 성북구 종암로 167 (하월곡동, 동일하이빌뉴시티) 401호",https://www.hugmom.co.kr/seongbuk01,,
허그맘·허그인 세종센터,044-417-6255,"세종특별자치시 한누리대로 169 (나성동, 세종행복타워) 403호세종특별자치시 나성동 720 세종행복타워",https://www.hugmom.co.kr/sejong,,
허그맘·허그인 송파잠실문정센터,02-6952-0051,"서울 송파구 송파대로 201 (문정동, 송파 테라타워2)서울특별시 송파구 송파대로 201 송파테라타워2 A동 221호",https://www.hugmom.co.kr/songpamunjeong,,
허그맘·허그인 수원센터,031-204-4275,"경기 수원시 영통구 덕영대로 1470 (망포동, 망포역 플래티넘베이스)5층 506-507호 허그맘허그인 수원영통점",https://www.hugmom.co.kr/suwon,,
허그맘·허그인 시흥센터,031-498-6255,"경기 시흥시 서울대학로278번길 61, 서영 베니스스퀘어 C동 4층 432-1호경기 시흥시 정왕동 2537-2, 서영 베니스스퀘어 C동 4층 432-1호",https://www.hugmom.co.kr/siheung,,
허그맘·허그인 신도림센터,02-6956-7915,"서울 구로구 경인로 590 (신도림동, 아주빌딩 2층)서울특별시 구로구 신도림동 413-49 (아주빌딩 2층)",https://www.hugmom.co.kr/guro,,
허그맘·허그인 아산센터,041-424-6255,"충남 아산시 배방읍 장재리 1776, N타워 3층 303호",https://www.hugmom.co.kr/asan,,
허그맘·허그인 안산센터 (직영점),031-8042-5512,경기 안산시 단원구 고잔로 88 지스타 빌딩 9층 906호경기 안산시 단원구 고잔동 534-2 9층 906호,https://www.hugmom.co.kr/ansan,,
허그맘·허그인 여수센터,061-686-3055,전남 여수시 도원로 190 (안산동) 3층(여천새마을금고 건물 3층),https://www.hugmom.co.kr/yeosu,,
허그맘·허그인 여의도센터,02-2135-7542,서울 영등포구 여의대방로 376 (여의도동) 나라키움 여의도빌딩 305호~307호서울 영등포구 여의도동 55-2 나라키움 여의도빌딩 305호~307호,https://www.hugmom.co.kr/yeouido,,
허그맘·허그인 오산센터,031-8068-6255,경기 오산시 청학로 230 (수청동) 재이클래스 202호,https://www.hugmom.co.kr/osan,,
허그맘·허그인 용인수지센터,031-548-2855,경기 용인시 수지구 문정로7번길 14 삼공타워 3층경기 용인시 수지구 풍덕천동 1082-11 삼공타워 3층,https://www.hugmom.co.kr/yonginsuji,,
허그맘·허그인 울산센터,052-267-4759,울산 남구 삼산로278번길 8 LJ타워 4층 402호울산 남구 삼산동 1478-5 LJ타워 4층 402호,https://www.hugmom.co.kr/ulsan,,
허그맘·허그인 의정부센터,031-928-5846,경기 의정부시 민락동 805-2(성산타워 9층)경기 의정부시 오목로225번길 140,https://www.hugmom.co.kr/uijeongbu01,,
허그맘·허그인 익산센터,063-851-7735,전북 익산시 선화로1길 16 (모현동1가) 2층 201호2층 201호,https://www.hugmom.co.kr/iksan,,
허그맘·허그인 인천서구센터,032-563-2070,"인천 서구 염곡로 468 (가정동, 드림타워) 3층인천광역시 서구 가정동 619-4 3층",https://www.hugmom.co.kr/incheonseogu,,
허그맘·허그인 인천송도센터,032-710-6517,"인천 연수구 하모니로138번길 11 (송도동, 송도캐슬센트럴파크101동, 4층)인천광역시 연수구 송도동 8-20 (송도캐슬센트럴파크 101동, 4층)",https://www.hugmom.co.kr/incheonsongdo,,
허그맘·허그인 일산센터,031-911-3301,경기 고양시 일산서구 일산로 774 리더스프라자II 601호경기 고양시 일산서구 대화동 2223-2 리더스프라자II 601호,https://www.hugmom.co.kr/ilsan,,
허그맘·허그인 전주센터,063-223-0075,전북 전주시 완산구 홍산로 238 메트로빌딩 7층전북 전주시 완산구 효자동2가 1154-3 메트로빌딩 7층,https://www.hugmom.co.kr/jeonju,,
허그맘·허그인 창원센터,055-289-7255,경남 창원시 성산구 단정로 9 토토스빌딩 4층경남 창원시 성산구 상남동 23-7 토토스빌딩4층,https://www.hugmom.co.kr/changwon,,
허그맘·허그인 천안센터,041-551-6256,충남 천안시 서북구 두정로 187 시온빌딩 4층충남 천안시 서북구 두정동 945 시온빌딩 4층,https://www.hugmom.co.kr/cheonan,,
허그맘·허그인 청주센터,043-236-1275,충북 청주시 서원구 복대로 19 매직타워 501호충북 청주시 서원구 개신동 696 매직타워 501호,https://www.hugmom.co.kr/cheongju,,
허그맘·허그인 파주센터,031-935-5795,"경기 파주시 목동동 935-2 (월드타워5차, 8층)경기 파주시 청암로17번길 21(월드타워5차, 8층)",https://www.hugmom.co.kr/paju,,
허그맘·허그인 평택센터,031-994-5922,경기 평택시 비전5로 20-38 에이치탑5 빌딩 602호경기 평택시 비전동 1102 에이치탑5빌딩 602호,https://www.hugmom.co.kr/pyeongtaek,,
허그맘·허그인 포항센터,054-232-9660,"경북 포항시 북구 양덕남로 73 (양덕동, 하주빌딩) 3층경북 포항시 북구 양덕동 1649-4 하주빌딩 3층",https://www.hugmom.co.kr/pohang,,
허그맘·허그인 하남센터,031-8042-6255,경기 하남시 미사강변중앙로 220 우성미사타워 9층경기 하남시 망월동 1079-1 우성미사타워 9층,https://www.hugmom.co.kr/hanam,,
